,Rank,University,Location,Country,Overall Score,IRN,H-index,Citations Per Paper,Academic Reputation,Employer Reputation
181,182,Newcastle University,Newcastle upon Tyne,United Kingdom,69.5,64.2,82.5,90.7,64.2,70.8
182,183,Technical University of Munich,Munich,Germany,69.4,71,68.5,84.3,67.9,68.2
183,183,Universiti Teknologi Malaysia,Skudai,Malaysia,69.4,83.6,72.5,83.7,65.6,69.0
184,185,Goethe-University Frankfurt am Main,Frankfurt,Germany,69.3,58.2,75.8,83.8,72.6,60.3
185,185,Western University,London,Canada,69.3,53,78.0,87.2,70.4,63.4
186,187,California Institute of Technology (Caltech),Pasadena,United States,69.2,30.2,66.3,85.2,66.8,76.3
187,187,University of Geneva,Geneva,Switzerland,69.2,67,73.3,84.2,70.5,62.6
188,189,University of Alberta,Edmonton,Canada,69.1,67.8,75.8,83.9,68.5,65.1
189,190,Plekhanov Russian University of Economics,Moscow,Russia,69,27.3,63.8,73.1,69.3,75.7
190,190,Ruprecht-Karls-Universität Heidelberg,Heidelberg,Germany,69,66.7,70.6,83.1,70.5,63.1
191,192,Universiti Kebangsaan Malaysia (UKM),Bangi,Malaysia,68.9,61.8,61.0,71.9,70.4,68.8
192,193,University of Otago,Dunedin,New Zealand,68.8,57,74.2,84.5,68.2,66.6
193,194,American University of Beirut (AUB),Beirut ,Lebanon,68.7,39.7,62.4,76.5,65.8,78.1
194,195,Hanyang University,Seoul,South Korea,68.6,44.1,62.4,89.4,70.2,66.5
195,195,Osaka University,Osaka City,Japan,68.6,45.7,59.4,74.0,69.4,72.0
196,195,University of Delhi,New Delhi,India,68.6,49.6,59.4,72.2,73.7,64.6
197,195,University of Wollongong,Wollongong,Australia,68.6,57.4,76.6,87.8,65.8,68.2
198,199,Queen's University at Kingston,Kingston,Canada,68.5,48.2,71.5,83.7,68.3,67.6
199,199,Universidade Estadual de Campinas (Unicamp),Campinas,Brazil,68.5,45.3,57.7,76.0,71.8,67.7
200,199,University of Lausanne,Lausanne,Switzerland,68.5,56.2,71.5,84.1,71.7,60.5
201,199,Uppsala University,Uppsala,Sweden,68.5,67.4,75.0,85.5,71.3,58.2
202,203,Georgia Institute of Technology,Atlanta,United States,68.4,53.6,69.6,90.2,65.8,69.3
203,203,Griffith University,Nathan,Australia,68.4,75.9,82.5,87.1,68.4,59.0
204,203,Institut Polytechnique de Paris,Palaiseau Cedex,France,68.4,51.3,69.6,86.7,61.7,77.4
205,203,University of Dhaka,Dhaka,Bangladesh,68.4,29.6,51.8,63.2,62.8,89.8
206,207,Curtin University,Perth,Australia,68.3,72.3,81.9,87.8,64.5,65.6
207,207,Fundação Getulio Vargas (FGV),São Paulo,Brazil,68.3,31.5,59.4,72.8,75.2,64.1
208,209,National Cheng Kung University (NCKU),Tainan City,Taiwan,68.2,34.9,65.1,87.2,67.5,71.0
209,209,Università Cattolica del Sacro Cuore,Milan,Italy,68.2,30.6,71.5,81.4,66.1,73.7
210,211,Indian Institute of Technology Delhi (IITD),New Delhi,India,68.1,44.3,55.9,83.3,68.6,70.6
211,211,University of Cape Town,Cape Town,South Africa,68.1,56.8,68.5,80.2,68.8,65.7
212,211,Università di Padova,Padova,Italy,68.1,56.1,74.2,85.2,64.5,70.4
213,214,Beijing Normal University,Beijing,China (Mainland),68,53.2,69.6,88.4,71.5,59.0
214,214,Ghent University,Ghent,Belgium,68,91.4,79.4,88.0,67.3,57.4
215,214,Indian Institute of Technology Bombay (IITB),Mumbai,India,68,35.1,54.0,75.2,69.3,72.9
216,214,University of the Philippines,Quezon City,Philippines,68,36.6,55.9,66.3,68.5,75.9
217,218,University of Southampton,Southampton,United Kingdom,67.9,77.2,79.4,89.3,63.1,66.1
218,218,Wuhan University,Wuhan,China (Mainland),67.9,54,71.5,85.6,67.6,65.4
219,220,ESCP Business School - Paris,Paris ,France,67.8,28.2,65.1,71.1,68.9,72.3
220,220,Pontificia Universidad Javeriana,Bogotá,Colombia,67.8,30.7,57.7,62.6,74.3,66.9
221,220,"University of California, Davis",Davis,United States,67.8,66.6,86.7,92.7,64.2,63.2
222,220,Universität Hamburg,Hamburg,Germany,67.8,55.8,73.3,85.1,70.0,60.5
223,224,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil,67.7,50.3,59.4,73.0,71.0,65.7
224,224,University of Milan,Milan,Italy,67.7,53.2,68.5,80.2,67.4,67.3
225,226,Cairo University,Giza,Egypt,67.6,49.5,54.0,74.8,65.0,76.7
226,226,"Essex, University of",Colchester,United Kingdom,67.6,59.8,75.8,88.0,72.7,53.1
227,226,National Chengchi University,Taipei City,Taiwan,67.6,22.9,63.8,77.1,72.7,65.2
228,226,University of Massachusetts Amherst,Amherst,United States,67.6,81.2,78.7,90.3,65.6,60.2
229,226,University of South Australia,Adelaide,Australia,67.6,74.7,75.8,88.3,65.1,63.4
230,226,University of Sussex,Brighton,United Kingdom,67.6,77.9,78.0,90.9,69.9,53.7
231,232,Airlangga University,Surabaya,Indonesia,67.5,13.6,43.8,43.4,67.6,88.1
232,232,University of York,York,United Kingdom,67.5,69.9,76.6,87.3,65.6,62.9
233,234,Middle East Technical University,Ankara,Turkey,67.4,35.5,67.4,82.4,64.6,73.5
234,234,University of St Andrews,St. Andrews,United Kingdom,67.4,55.3,71.5,84.9,65.3,67.5
235,234,University of Waterloo,Waterloo,Canada,67.4,69.6,75.0,86.7,62.9,67.8
236,234,York University,Toronto,Canada,67.4,48.5,77.3,83.5,70.6,58.8
237,238,Bandung Institute of Technology (ITB),Bandung,Indonesia,67.2,24.6,49.5,58.1,65.3,84.0
238,238,Boston College,Chestnut Hill,United States,67.2,51.7,79.4,90.6,69.2,57.7
239,238,University of Calgary,Calgary,Canada,67.2,60.2,78.0,85.5,62.6,68.9
240,238,University of Liverpool,Liverpool,United Kingdom,67.2,72.5,77.3,83.7,61.8,68.5
241,238,University of Strathclyde,Glasgow,United Kingdom,67.2,58.1,74.2,84.9,67.1,62.8
242,243,Pontificia Universidad Catolica del Peru,Lima,Peru,67,40.3,61.0,63.4,74.5,61.5
243,243,Universit Paris-Saclay,Gif-sur-Yvette,,67,57,66.3,82.1,60.0,76.7
244,245,SOAS University of London,London,United Kingdom,66.9,45.8,68.5,77.2,71.6,59.7
245,245,University of Canterbury | Te Whare Wānanga o Waitaha,Christchurch,New Zealand,66.9,51.1,63.8,82.2,66.0,68.0
246,247,University of Surrey,Guildford,United Kingdom,66.8,61.5,76.6,90.6,65.7,61.2
247,247,University of Twente,Enschede,Netherlands,66.8,73.6,78.0,93.0,63.3,62.3
248,249,European University Institute,Florence,Italy,66.7,44,72.5,86.9,76.8,47.1
249,249,MGIMO University,Moscow,Russia,66.7,-,43.8,52.5,71.0,79.8
250,251,Florida State University,Tallahassee,United States,66.6,64.5,83.6,89.7,64.3,60.9
251,251,"The University of Newcastle, Australia (UON)",Callaghan,Australia,66.6,66.6,80.0,92.3,60.7,66.8
252,251,Universiti Utara Malaysia (UUM),Sintok,Malaysia,66.6,47.4,62.4,72.3,71.7,61.0
253,254,Dartmouth College,Hanover,United States,66.5,40.4,79.4,95.2,67.7,58.6
254,254,RUDN University,Moscow,Russia,66.5,29.3,49.5,59.5,64.7,81.8
255,254,The University of Arizona,Tucson,United States,66.5,73,81.9,88.9,65.2,58.0
256,254,Universidade Nova de Lisboa,Lisbon,Portugal,66.5,59.3,74.2,88.7,68.2,57.4
257,254,University of Warsaw,Warsaw,Poland,66.5,47.8,68.5,72.3,70.3,61.3
258,259,Indian Institute of Management (IIM) - Ahmedabad,Ahmedabad,India,66.4,20.8,51.8,60.3,76.6,62.2
259,259,Sun Yat-sen University,Guangzhou,China (Mainland),66.4,40.4,74.2,88.8,68.1,60.5
260,259,The University of Georgia,Athens,United States,66.4,62,80.7,87.1,66.2,58.8
261,259,University of Gothenburg,Gothenburg,Sweden,66.4,69.4,78.7,85.1,69.8,52.6
262,259,University of Reading,Reading,United Kingdom,66.4,63.4,75.0,87.8,64.2,63.2
263,264,Charles University,Prague,Czechia,66.3,69.3,70.6,77.9,68.8,57.8
264,265,Tokyo Institute of Technology (Tokyo Tech),Tokyo,Japan,66.2,39.3,51.8,73.1,62.4,78.8
265,265,Wageningen University & Research,Wageningen,Netherlands,66.2,100,72.5,92.9,60.4,62.0
266,267,Dublin City University,Dublin,Ireland,66.1,57.3,67.4,81.9,64.1,66.5
267,267,Massey University,Palmerston North,New Zealand,66.1,68.2,72.5,83.3,65.3,61.3
268,267,Rutgers University–New Brunswick,New Brunswick,United States,66.1,66,82.5,87.0,64.9,58.9
269,267,University of Notre Dame,Notre Dame,United States,66.1,53.6,77.3,89.1,64.7,61.8
270,271,Indian Institute of Management (IIM) - Bangalore,Bangalore,India,66,28.4,54.0,57.6,76.5,59.8
271,271,La Trobe University,Melbourne,Australia,66,63.1,72.5,82.3,64.4,63.4
