,Rank,University,Location,Country,Overall Score,IRN,H-index,Citations Per Paper,Academic Reputation,Employer Reputation
0,1,Harvard University,Cambridge,United States,97.4,93.3,100.0,95.6,96.1,100.0
1,2,University of Oxford,Oxford,United Kingdom,94.9,96.8,92.2,90.4,93.4,99.0
2,3,The London School of Economics and Political Science (LSE),London,United Kingdom,93.7,67.2,88.5,92.2,100.0,89.2
3,4,University of Cambridge,Cambridge,United Kingdom,93.3,79.1,90.6,90.2,92.7,98.0
4,5,Stanford University,Stanford,United States,92.8,71,97.8,99.6,92.8,93.4
5,6,Massachusetts Institute of Technology (MIT),Cambridge,United States,91.9,75.2,91.0,100.0,90.9,94.4
6,7,National University of Singapore (NUS),Singapore,Singapore,90,66.4,80.0,89.1,89.3,97.8
7,8,"University of California, Berkeley (UCB)",Berkeley,United States,89.6,82.2,94.6,95.0,90.6,86.6
8,9,Yale University,New Haven,United States,87.5,70,88.9,93.4,88.3,87.2
9,10,Bocconi University,Milan,Italy,87.3,49.2,74.2,91.1,90.6,90.4
10,11,"Nanyang Technological University, Singapore (NTU)",Singapore,Singapore,87,65.2,81.3,88.5,85.9,93.5
11,12,Columbia University,New York City,United States,86.4,93.3,93.6,90.8,87.9,79.8
12,13,University of Chicago,Chicago,United States,86.3,62.4,93.6,96.5,91.1,78.0
13,14,"University of California, Los Angeles (UCLA)",Los Angeles,United States,86,67.3,91.0,92.8,86.6,85.2
14,15,The University of Melbourne,Parkville,Australia,85.5,76.8,88.5,85.8,84.9,87.2
15,16,University of Pennsylvania,Philadelphia,United States,85.4,71.1,92.9,94.2,89.6,76.6
16,17,New York University (NYU),New York City,United States,84.4,66,92.5,91.6,88.5,76.9
17,18,UCL,London,United Kingdom,84.2,96,92.9,89.7,81.6,82.9
18,19,Princeton University,Princeton,United States,83.9,65.3,91.4,99.9,86.0,77.7
19,19,The University of Hong Kong,Hong Kong SAR,Hong Kong SAR,83.9,58.6,76.6,87.2,85.8,86.1
20,21,University of Toronto,Toronto,Canada,83.2,76.9,94.0,89.9,85.6,75.9
21,22,The University of New South Wales (UNSW Sydney),Sydney,Australia,82.9,76.1,81.9,85.9,81.6,85.7
22,23,University of Amsterdam,Amsterdam,Netherlands,82.6,89,87.6,94.0,84.8,73.7
23,24,Australian National University (ANU),Canberra,Australia,82.5,71.5,76.6,83.8,84.2,82.8
24,25,London Business School,London,United Kingdom,82.2,32.6,65.1,80.2,89.4,83.4
25,26,Peking University,Beijing,China (Mainland),82.1,44.1,75.0,90.7,84.5,84.1
26,26,The University of Sydney,Sydney,Australia,82.1,71.7,83.0,85.2,82.6,82.1
27,28,University of Michigan-Ann Arbor,Ann Arbor,United States,82,83.1,92.2,91.7,84.4,73.0
28,29,INSEAD,Fontainebleau,France,81.9,35.2,61.0,76.9,88.2,85.7
29,29,Monash University,Melbourne,Australia,81.9,78,81.9,85.7,79.2,86.1
30,31,University of British Columbia,Vancouver,Canada,81.6,70.5,84.1,88.5,83.5,77.9
31,32,The University of Tokyo,Tokyo,Japan,80.8,59.7,63.8,77.6,82.0,87.4
32,33,Cornell University,Ithaca,United States,80.5,63.6,87.1,91.0,80.0,79.9
33,33,The Hong Kong University of Science and Technology,Hong Kong SAR,Hong Kong SAR,80.5,39.4,68.5,94.7,83.6,81.6
34,35,The University of Manchester,Manchester,United Kingdom,80.4,82.4,85.7,89.3,78.4,79.9
35,36,Erasmus University Rotterdam,Rotterdam,Netherlands,80.3,74.2,81.9,90.2,84.0,72.4
36,36,Northwestern University,Evanston,United States,80.3,59,92.5,96.5,84.3,70.2
37,38,Tsinghua University,Beijing,China (Mainland),80.2,48.4,78.0,91.8,79.6,84.2
38,39,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Hong Kong SAR,80.1,46.7,73.3,87.3,83.4,80.2
39,40,The University of Warwick,Coventry,United Kingdom,79.5,72.4,81.3,89.0,82.2,73.5
40,41,Seoul National University,Seoul,South Korea,79.2,40.2,68.5,83.5,84.2,78.8
41,42,King's College London,London,United Kingdom,78.8,85.4,82.5,86.1,77.2,77.7
42,43,McGill University,Montreal,Canada,78.7,73.8,83.0,86.6,80.4,73.5
43,44,HEC Paris School of Management,Paris,France,78.6,29.2,57.7,71.0,86.2,81.2
44,45,Imperial College London,London,United Kingdom,78.3,62.8,74.2,93.8,73.6,85.7
45,45,The University of Queensland,Brisbane City,Australia,78.3,79.6,84.7,88.7,77.4,75.5
46,47,ETH Zurich,Zürich,Switzerland,78,64,71.5,93.2,74.3,84.4
47,48,Duke University,Durham,United States,77.9,68.6,86.7,92.7,79.8,70.4
48,48,KU Leuven,Leuven,Belgium,77.9,88,83.6,88.9,78.7,70.8
49,50,The Hong Kong Polytechnic University,Hong Kong SAR,Hong Kong SAR,77.8,57.9,80.0,92.9,77.4,77.4
50,50,Universiti Malaya (UM),Kuala Lumpur,Malaysia,77.8,73.9,71.5,86.3,77.0,79.1
51,52,HSE University,Moscow,Russia,77.7,58.8,70.6,72.7,78.2,83.0
52,53,Copenhagen Business School,Frederiksberg,Denmark,77.6,53.5,74.2,91.2,85.9,65.2
53,53,The University of Edinburgh,Edinburgh,United Kingdom,77.6,69.1,80.7,86.5,77.5,76.2
54,55,University of Texas at Austin,Austin,United States,77.5,71.7,89.4,91.2,78.7,70.0
55,56,Université Paris 1 Panthéon-Sorbonne,Paris,France,77.2,59,65.1,70.8,80.8,79.0
56,57,Lomonosov Moscow State University,Moscow,Russia,77.1,48.6,51.8,59.9,77.3,92.3
57,58,The University of Auckland,Auckland,New Zealand,77,65.1,80.0,87.1,76.8,75.9
58,59,Universidad Nacional Autónoma de México (UNAM),Mexico City,Mexico,76.9,58.3,59.4,70.1,83.0,75.9
59,59,University of Navarra,Pamplona,Spain,76.9,62.3,66.3,81.9,77.5,79.8
60,61,National Taiwan University (NTU),Taipei City,Taiwan,76.7,43.4,65.1,84.6,78.2,80.8
61,62,Alma Mater Studiorum - University of Bologna,Bologna,Italy,76.5,67.4,74.2,80.8,76.6,77.5
62,62,Fudan University,Shanghai,China (Mainland),76.5,44.4,66.3,86.9,78.9,77.9
63,64,Korea University,Seoul,South Korea,76.4,46.8,68.5,85.7,81.1,73.0
64,65,Sciences Po,Paris,France,76.3,40.7,72.5,83.3,82.4,71.4
65,66,Pontificia Universidad Católica de Chile (UC),Santiago,Chile,76.2,51.4,66.3,79.7,81.3,73.5
66,67,Kyoto University,Kyoto,Japan,75.9,62.3,65.1,78.7,77.1,78.3
67,68,Singapore Management University,Singapore,Singapore,75.7,34.9,66.3,87.2,80.6,73.8
68,69,City University of Hong Kong,Hong Kong SAR,Hong Kong SAR,75.4,46.7,71.5,89.1,78.5,72.7
69,70,Humboldt-Universität zu Berlin,Berlin,Germany,75.3,64.2,74.2,86.6,80.4,66.0
70,71,Tilburg University,Tilburg,Netherlands,75.2,62.3,80.0,88.9,80.0,64.7
71,72,Shanghai Jiao Tong University,Shanghai,China (Mainland),75.1,45.9,70.6,90.1,76.2,75.4
72,72,University of Leeds,Leeds,United Kingdom,75.1,87.8,81.9,89.8,72.2,72.4
73,74,Universidade de São Paulo,São Paulo,Brazil,74.9,57.3,66.3,75.1,78.1,74.5
74,74,Universitat Pompeu Fabra (Barcelona),Barcelona,Spain,74.9,56.7,78.0,87.1,78.3,68.3
75,74,Yonsei University,Seoul,South Korea,74.9,27,68.5,83.1,79.6,74.6
76,77,Pennsylvania State University,University Park,United States,74.8,78.6,84.7,87.4,75.1,68.2
77,77,Tecnológico de Monterrey,Monterrey,Mexico,74.8,47.1,63.8,81.5,77.7,75.5
78,77,Université PSL,Paris,France,74.8,76.5,70.6,81.9,72.8,77.1
79,80,Michigan State University,East Lansing,United States,74.6,75.7,85.7,89.6,75.0,67.2
80,81,University of Wisconsin-Madison,Madison,United States,74.5,68.6,88.5,91.5,77.3,63.2
81,82,Boston University,Boston,United States,74.4,65.6,84.1,89.9,74.0,70.3
82,82,Universitat Ramon Llull,Barcelona,Spain,74.4,50.2,67.4,82.0,74.6,78.1
83,84,University of Copenhagen,Copenhagen,Denmark,74.2,76.2,78.0,85.1,76.4,66.4
84,85,Universidad de Buenos Aires (UBA),Buenos Aires,Argentina,74.1,37.1,59.4,65.8,80.6,75.2
85,86,Durham University,Durham,United Kingdom,73.9,75.8,78.0,86.5,72.7,71.4
86,86,Universidad Carlos III de Madrid (UC3M),Madrid,Spain,73.9,55.2,67.4,81.7,74.9,74.9
87,86,University of Southern California,Los Angeles,United States,73.9,64.1,87.1,91.2,75.9,64.6
88,86,University of St.Gallen (HSG),St. Gallen,Switzerland,73.9,43.7,70.6,88.7,78.1,69.0
89,90,Utrecht University,Utrecht,Netherlands,73.8,72.3,87.1,93.2,74.9,64.2
90,91,Luiss University,Rome,Italy,73.7,34.7,63.8,71.9,73.1,84.2
91,92,Leiden University,Leiden,Netherlands,73.6,69.5,76.6,86.2,76.0,66.5
92,92,Politecnico di Milano,Milan,Italy,73.6,63.8,68.5,86.1,66.8,84.6
93,92,Universitat Autònoma de Barcelona,Barcelona,Spain,73.6,63.6,80.0,86.2,73.1,71.3
94,95,Sapienza University of Rome,Rome,Italy,73.5,78.3,75.8,82.5,70.2,75.5
95,95,"University of California, San Diego (UCSD)",San Diego,United States,73.5,75.1,88.1,93.7,72.3,66.4
96,97,University of Glasgow,Glasgow,United Kingdom,73.4,65.5,78.7,84.5,73.5,70.3
97,97,Waseda University,Tokyo,Japan,73.4,32.9,59.4,71.0,78.3,76.1
98,99,Freie Universitaet Berlin,Berlin,Germany,73.3,67.4,69.6,82.5,78.1,64.8
99,99,"Trinity College Dublin, The University of Dublin",Dublin,Ireland,73.3,51.4,72.5,82.2,73.2,75.0
100,101,Complutense University of Madrid,Madrid,Spain,73.2,67.2,67.4,76.8,71.7,77.3
101,101,Ludwig-Maximilians-Universität München,Munich,Germany,73.2,62.2,79.4,88.6,77.3,62.8
102,101,University of Washington,Seattle,United States,73.2,72.2,87.1,90.5,73.5,64.9
103,104,King Abdulaziz University (KAU),Jeddah,Saudi Arabia,73,70.5,67.4,92.6,68.7,77.1
104,105,Carnegie Mellon University,Pittsburgh,United States,72.9,62.2,84.1,97.2,72.0,67.2
105,105,University of Illinois at Urbana-Champaign,Champaign,United States,72.9,72.1,85.2,88.6,73.3,65.3
106,107,University of Groningen,Groningen,Netherlands,72.8,82.7,84.7,92.0,73.4,62.4
107,107,University of North Carolina at Chapel Hill,Chapel Hill,United States,72.8,70.7,85.7,90.3,75.7,60.8
108,109,Maastricht University,Maastricht,Netherlands,72.7,74.8,82.5,90.8,73.1,64.6
109,109,University of Zurich,Zürich,Switzerland,72.7,52,82.5,91.3,76.8,62.1
110,111,The Ohio State University,Columbus,United States,72.6,64.7,87.1,90.1,72.7,65.9
111,112,Lund University,Lund,Sweden,72.4,76.4,77.3,87.2,73.2,65.4
112,112,Universidad de Chile,Santiago,Chile,72.4,50.9,63.8,77.3,77.3,68.8
113,112,Universitas Indonesia,Depok,Indonesia,72.4,38.5,54.0,58.2,72.3,86.4
114,115,KAIST - Korea Advanced Institute of Science & Technology,Daejeon,South Korea,72.3,34.2,57.7,88.8,74.0,75.4
